Province Code|Province Name|Regency/Municipality Code|Regency/Municipality Name|District Code|District Name|Village Code|Village Name|Population
||||||004|SIMPANG LHEE|697
||||||005|SIMPANG EMPAT|1432
||||||006|JAMBO MANYANG|1311
||||||007|LIMAU PURUT|4194
||||||008|PULO KAMBING|927
||||||009|KAMPUNG PAYA|987
||||||010|KRUENG BATU|2054
||||||011|GUNONG PULO|633
||||||012|PULO IE I|1125
||||||013|KRUENG BATEE|1328
||||||014|PASI KUALA ASAHAN|624
||||||015|FAJAR HARAPAN|687
||||||036|KRUENG KLUET|922
||||||039|ALUR MAS|988
||||||050|KAMPUNG TINGGI|566
||||||051|KAMPUNG RUAK|1583
||||041|PASIE RAJA|001|UJUNG PADANG ASAHAN|1315
||||||002|PULO IE II|175
||||||003|IE MIRAH|779
||||||004|UJUNG PADANG RASIAN|705
||||||005|PASI RASIAN|170
||||||006|TEUPIN GAJAH|1045
||||||007|KAMPUNG BARO|480
||||||008|KRUENG KELEE|644
||||||009|LHOK SIALANG RAYEUK|832
||||||010|LHOK SIALANG CUT|340
||||||011|PAYATEUK|1593
||||||012|SILOLO|1285
||||||013|KAMPUNG BARU|177
||||||014|SI NEUBOK|847
||||||015|LADANG TUHA|2177
||||||016|PANTON BILI|603
||||||017|LADANG TEUNGOH|640
||||||018|PUCUK KRUENG|395
||||||019|MATA IE|598
||||||020|UJUNG BATU|700
||||042|KLUET TENGAH|001|JAMBO PAPAN|621
||||||002|KOTO INDARUNG|448
||||||003|SIURAI URAI|128
||||||004|MALAKA|616
||||||005|LAWE MELANG|399
||||||006|KOTO|1151
||||||007|KAMPUNG SAWAH|401
||||||008|KAMPUNG PADANG|352
||||||009|PULO AIR|161
||||||010|MERSAK|401
||||||011|SIMPANG DUA|618
||||||012|SIMPANG TIGA|606
||||||013|ALUR KEJRUN|218
||||050|TAPAK TUAN|001|GUNUNG KERAMBIL|1252
||||||002|AIR BERUDANG|2056
||||||003|LHOK KETAPANG|1628
||||||004|HILIR|2274
||||||005|PASAR|1478
||||||006|PADANG|1079
||||||007|TEPI AIR|504
||||||008|HULU|1048
||||||009|JAMBO APHA|1405
||||||010|LHOK BENGKUANG|5213
||||||011|BATU ITAM|2058
||||||012|PANJUPIAN|547
||||||013|LHOK RUKAM|634
||||||014|AIR PINANG|989
||||||015|PANTON LUAS|375
||||060|SAMA DUA|001|UJUNG TANAH|768
||||||002|PAYONAN GADANG|709
||||||003|LUBUK LAYU|394
||||||004|SUAQ HULU|572
||||||005|LUAR|466
||||||006|UJUNG KAMPUNG|238
||||||007|TAMPANG|280
||||||008|JILATANG|754
||||||009|AIR SIALANG HULU|378
||||||010|AIR SIALANG TENGAH|452
||||||011|AIR SIALANG HILIR|728
||||||012|SUBARANG|287
||||||013|GUNUNG KETEK|514
||||||014|KOTA BARU|380
||||||015|MADAT|344
||||||016|DALAM|362
||||||017|TENGAH|372
||||||018|BALAI|282
||||||019|BARU|798
||||||020|GADANG|394
||||||021|LADANG KASIK PUTIH|475
||||||022|LADANG PANTON LUAS|321
||||||023|ALUR SIMERAH|308
||||||024|ALUR PINANG|860
||||||025|GUNUNG CUT|386
||||||026|KUTA BLANG|1233
||||||027|BATEE TUNGGAI|590
||||||028|ARAFAH|795
||||070|SAWANG|001|SAWANG BAU|1137
||||||002|UJUNG PADANG|1009
||||||003|KUTA BARO|610
||||||004|SIMPANG III|1016
||||||005|BLANG GELINGGANG|826
||||||006|MEULIGO|817
||||||007|SAWANG I|901
||||||008|SAWANG II|552
||||||009|UJUNG KARANG|989
||||||010|LHOK PAWOH|1530
||||||011|PANTON LUAS|856
||||||012|TRIENG MEUDURO TUNONG|1031
||||||013|TRIENG MEUDURO BAROH|1048
||||||014|SIKULAT|309
||||||015|MUTIARA|1048
||||080|MEUKEK|001|ALUE MEUTUAH|418
||||||002|LHOK AMAN|959
||||||003|LADANG BARO|437
||||||004|LABUHAN TAROK|2317
||||||005|TANJUNG HARAPAN|752
||||||006|KUTA BARO|584
||||||007|KEUDE MEUKEK|829
||||||008|ARON TUNGGAI|1071
||||||009|BLANG BLADEH|1369
||||||010|BLANG TEUNGOH|502
||||||011|IE BUBOH|533
||||||012|KUTA BULOH II|811
||||||013|KUTA BULOH I|1138
||||||014|IE DINGEN|1299
||||||015|DRIEN JALO|223
||||||016|JAMBO PAPEUN|1468
||||||017|BUKET MEUH|209
||||||018|ALUE BARO|482
||||||019|ROT TEUNGOH|969
||||||020|BLANG KUALA|948
||||||021|LADANG TUHA|500
||||||022|LHOK MAMPLAM|443
||||090|LABUHAN HAJI|010|PADANG BARU|351
||||||011|LEMBAH BARU|474
||||||012|TENGAH BARU|1207
||||||013|PAWOH|1054
||||||014|APHA|685
||||||015|PASAR LAMA|979
||||||016|PADANG BAKAU|905
||||||028|BAKAU HULU|1049
||||||029|MANGGIS HARAPAN|966
||||||030|UJUNG BATU|561
||||||031|DALAM|207
||||||032|KOTA PALAK|397
||||||033|CACANG|557
||||||034|TENGAH PISANG|378
||||||035|PISANG|1093
||||||036|HULU PISANG|960
||||091|LABUHAN HAJI TIMUR|001|KEUMUMU HILIR|1917
||||||002|PAYA PEULUMAT|686
||||||003|TENGAH PEULUMAT|994
||||||004|PADANG PEULUMAT|393
||||||005|LIMAU SARING|744
||||||006|AUR PEULUMAT|431
||||||007|KEUMUMU HULU|589
||||||008|BEUTONG|633
||||||009|PEUNALOP|377
||||||010|GUNUNG ROTAN|1203
||||||011|KEUMUMU SEBERANG|1170
||||092|LABUHAN HAJI BARAT|001|PULO IE|279
||||||002|SUAK LOKAN|937
||||||003|IKU LHUNG|321
||||||004|PANTE GEULIMA|736
||||||005|BLANG BARU|1325
||||||006|BLANG POROH|1485
||||||007|KUTA IBOH|1001
||||||008|TUTONG|1423
||||||009|UJUNG PADANG|1292
||||||010|TENGAH IBOH|1030
||||||011|PEULOKAN|1420
||||||012|KUTA TRIENG|2323
||||||013|PANTON PAWOH|1923
||04|ACEH TENGGARA|010|LAWE ALAS|021|MUARA BARU|425
||||||022|PASIR BANGUN|725
||||||023|NGKERAN|597
||||||024|LAWE KONGKIR|640
||||||025|KUBU|612
||||||026|KUTA CINGKAM II|574
||||||027|KUTA CINGKAM I|503
||||||028|LAWE SEMPILANG|344
||||||029|KUTA BATU II|819
||||||030|KUTA BATU I|563
||||||031|PRAPAT BATU NUNGGUL|808
||||||032|PULO SEPANG|555
||||||034|PAYA MUNJE|312
||||||035|DARUL AMIN|518
||||||036|LAWE LUBANG INDAH|232
||||||037|BATU HAMPARAN|289
||||||038|RIH MBELANG|532
||||||039|KUTE BATU BARU|657
||||||040|RUMAH KAMPUNG|404
||||||041|PASEKH PEKHMATE|279
||||||042|PASIR NUNGGUL|312
||||||043|LAWE KONGKIR HILIR|257
||||||044|PULO NDADAP|377
||||||045|PINTU KHIMBE|315
||||||046|PULO GADUNG|300
||||||047|CINGKAM MERANGGUN|349
||||||048|PASIR NUNANG|398
||||||049|DELENG KUKUSEN|314
||||011|BABUL RAHMAD|001|PENGUHAPAN|272
||||||002|SALIM PIPIT|420
||||||003|LAWE SUMUR|405
||||||004|UNING SIGUGUR|213
||||||005|KUTA LANG LANG|512
||||||006|LUMBAN SITIO TIO|212
||||||007|MERANTI|161
||||||008|PERDAMEAN|209
||||||009|MUTIARA DAMAI|374
||||||010|LUMBAN TUA|318
||||||011|DOLOK NAULI|199
||||||012|TUHI JONGKAT|306
||||||013|TITI MAS|332
||||||017|LAWE MALUN|782
||||||018|ALUR BANING|351
||||||019|SIGAI INDAH|196
||||||020|SUMUR ALAS|252
||||||021|TUAH MESADE|295
||||||022|LINGGA ALAS|107
||||||023|RAMBUNG TUBUNG|143
||||||024|SPERINDING|219
||||||025|TANAH SUBUR|155
